uuid,Keywords,label
0,cardiac troponins; cardiovascular disease; tobacco,1
1,cardiac troponins; cardiovascular disease; tobacco,1
2,cardiac troponins; cardiovascular disease; tobacco,1
3,cardiac troponins; cardiovascular disease; tobacco,1
4,cardiac troponins; cardiovascular disease; tobacco,1
5,cardiac troponins; cardiovascular disease; tobacco,1
6,cardiac troponins; cardiovascular disease; tobacco,1
7,cardiac troponins; cardiovascular disease; tobacco,1
8,cardiac troponins; cardiovascular disease; tobacco,1
9,cardiac troponins; cardiovascular disease; tobacco,1
10,cardiac troponins; cardiovascular disease; tobacco,1
11,cardiac troponins; cardiovascular disease; tobacco,1
12,cardiac troponins; cardiovascular disease; tobacco,1
13,cardiac troponins; cardiovascular disease; tobacco,1
14,cardiac troponins; cardiovascular disease; tobacco,1
15,cardiac troponins; cardiovascular disease; tobacco,1
16,cardiac troponins; cardiovascular disease; tobacco,1
17,cardiac troponins; cardiovascular disease; tobacco,1
18,cardiac troponins; cardiovascular disease; tobacco,1
19,cardiac troponins; cardiovascular disease; tobacco,1
20,cardiac troponins; cardiovascular disease; tobacco,1
21,cardiac troponins; cardiovascular disease; tobacco,1
22,cardiac troponins; cardiovascular disease; tobacco,1
23,cardiac troponins; cardiovascular disease; tobacco,1
24,cardiac troponins; cardiovascular disease; tobacco,1
25,cardiac troponins; cardiovascular disease; tobacco,1
26,cardiac troponins; cardiovascular disease; tobacco,1
27,cardiac troponins; cardiovascular disease; tobacco,1
28,cardiac troponins; cardiovascular disease; tobacco,1
29,cardiac troponins; cardiovascular disease; tobacco,1
30,cardiac troponins; cardiovascular disease; tobacco,1
31,cardiac troponins; cardiovascular disease; tobacco,1
32,cardiac troponins; cardiovascular disease; tobacco,1
33,cardiac troponins; cardiovascular disease; tobacco,1
34,cardiac troponins; cardiovascular disease; tobacco,1
35,cardiac troponins; cardiovascular disease; tobacco,1
36,cardiac troponins; cardiovascular disease; tobacco,1
37,cardiac troponins; cardiovascular disease; tobacco,1
38,cardiac troponins; cardiovascular disease; tobacco,1
39,cardiac troponins; cardiovascular disease; tobacco,1
40,cardiac troponins; cardiovascular disease; tobacco,1
41,cardiac troponins; cardiovascular disease; tobacco,1
42,cardiac troponins; cardiovascular disease; tobacco,1
43,cardiac troponins; cardiovascular disease; tobacco,1
44,cardiac troponins; cardiovascular disease; tobacco,1
45,cardiac troponins; cardiovascular disease; tobacco,1
46,cardiac troponins; cardiovascular disease; tobacco,1
47,cardiac troponins; cardiovascular disease; tobacco,1
48,cardiac troponins; cardiovascular disease; tobacco,1
49,cardiac troponins; cardiovascular disease; tobacco,1
50,cardiac troponins; cardiovascular disease; tobacco,1
51,cardiac troponins; cardiovascular disease; tobacco,1
52,cardiac troponins; cardiovascular disease; tobacco,1
53,cardiac troponins; cardiovascular disease; tobacco,1
54,cardiac troponins; cardiovascular disease; tobacco,1
55,cardiac troponins; cardiovascular disease; tobacco,1
56,cardiac troponins; cardiovascular disease; tobacco,1
57,cardiac troponins; cardiovascular disease; tobacco,1
58,cardiac troponins; cardiovascular disease; tobacco,1
59,cardiac troponins; cardiovascular disease; tobacco,1
60,cardiac troponins; cardiovascular disease; tobacco,1
61,cardiac troponins; cardiovascular disease; tobacco,1
62,cardiac troponins; cardiovascular disease; tobacco,1
63,cardiac troponins; cardiovascular disease; tobacco,1
64,cardiac troponins; cardiovascular disease; tobacco,1
65,cardiac troponins; cardiovascular disease; tobacco,1
66,cardiac troponins; cardiovascular disease; tobacco,1
67,cardiac troponins; cardiovascular disease; tobacco,1
68,cardiac troponins; cardiovascular disease; tobacco,1
69,cardiac troponins; cardiovascular disease; tobacco,1
70,cardiac troponins; cardiovascular disease; tobacco,1
71,cardiac troponins; cardiovascular disease; tobacco,1
72,cardiac troponins; cardiovascular disease; tobacco,1
73,cardiac troponins; cardiovascular disease; tobacco,1
74,cardiac troponins; cardiovascular disease; tobacco,1
75,cardiac troponins; cardiovascular disease; tobacco,1
76,cardiac troponins; cardiovascular disease; tobacco,1
77,cardiac troponins; cardiovascular disease; tobacco,1
78,cardiac troponins; cardiovascular disease; tobacco,1
79,cardiac troponins; cardiovascular disease; tobacco,1
80,cardiac troponins; cardiovascular disease; tobacco,1
81,cardiac troponins; cardiovascular disease; tobacco,1
82,cardiac troponins; cardiovascular disease; tobacco,1
83,cardiac troponins; cardiovascular disease; tobacco,1
84,cardiac troponins; cardiovascular disease; tobacco,1
85,cardiac troponins; cardiovascular disease; tobacco,1
86,cardiac troponins; cardiovascular disease; tobacco,1
87,cardiac troponins; cardiovascular disease; tobacco,1
88,cardiac troponins; cardiovascular disease; tobacco,1
89,cardiac troponins; cardiovascular disease; tobacco,1
90,cardiac troponins; cardiovascular disease; tobacco,1
91,cardiac troponins; cardiovascular disease; tobacco,1
92,cardiac troponins; cardiovascular disease; tobacco,1
93,cardiac troponins; cardiovascular disease; tobacco,1
94,cardiac troponins; cardiovascular disease; tobacco,1
95,cardiac troponins; cardiovascular disease; tobacco,1
96,cardiac troponins; cardiovascular disease; tobacco,1
97,cardiac troponins; cardiovascular disease; tobacco,1
98,cardiac troponins; cardiovascular disease; tobacco,1
99,cardiac troponins; cardiovascular disease; tobacco,1
100,cardiac troponins; cardiovascular disease; tobacco,1
101,cardiac troponins; cardiovascular disease; tobacco,1
102,cardiac troponins; cardiovascular disease; tobacco,1
103,cardiac troponins; cardiovascular disease; tobacco,1
104,cardiac troponins; cardiovascular disease; tobacco,1
105,cardiac troponins; cardiovascular disease; tobacco,1
106,cardiac troponins; cardiovascular disease; tobacco,1
107,cardiac troponins; cardiovascular disease; tobacco,1
108,cardiac troponins; cardiovascular disease; tobacco,1
109,cardiac troponins; cardiovascular disease; tobacco,1
110,cardiac troponins; cardiovascular disease; tobacco,1
111,cardiac troponins; cardiovascular disease; tobacco,1
112,cardiac troponins; cardiovascular disease; tobacco,1
113,cardiac troponins; cardiovascular disease; tobacco,1
114,cardiac troponins; cardiovascular disease; tobacco,1
115,cardiac troponins; cardiovascular disease; tobacco,1
116,cardiac troponins; cardiovascular disease; tobacco,1
117,cardiac troponins; cardiovascular disease; tobacco,1
118,cardiac troponins; cardiovascular disease; tobacco,1
119,cardiac troponins; cardiovascular disease; tobacco,1
120,cardiac troponins; cardiovascular disease; tobacco,1
121,cardiac troponins; cardiovascular disease; tobacco,1
122,cardiac troponins; cardiovascular disease; tobacco,1
123,cardiac troponins; cardiovascular disease; tobacco,1
124,cardiac troponins; cardiovascular disease; tobacco,1
125,cardiac troponins; cardiovascular disease; tobacco,1
126,cardiac troponins; cardiovascular disease; tobacco,1
127,cardiac troponins; cardiovascular disease; tobacco,1
128,cardiac troponins; cardiovascular disease; tobacco,1
129,cardiac troponins; cardiovascular disease; tobacco,1
130,cardiac troponins; cardiovascular disease; tobacco,1
131,cardiac troponins; cardiovascular disease; tobacco,1
132,cardiac troponins; cardiovascular disease; tobacco,1
133,cardiac troponins; cardiovascular disease; tobacco,1
134,cardiac troponins; cardiovascular disease; tobacco,1
135,cardiac troponins; cardiovascular disease; tobacco,1
136,cardiac troponins; cardiovascular disease; tobacco,1
137,cardiac troponins; cardiovascular disease; tobacco,1
138,cardiac troponins; cardiovascular disease; tobacco,1
139,cardiac troponins; cardiovascular disease; tobacco,1
140,cardiac troponins; cardiovascular disease; tobacco,1
141,cardiac troponins; cardiovascular disease; tobacco,1
142,cardiac troponins; cardiovascular disease; tobacco,1
143,cardiac troponins; cardiovascular disease; tobacco,1
144,cardiac troponins; cardiovascular disease; tobacco,1
145,cardiac troponins; cardiovascular disease; tobacco,1
146,cardiac troponins; cardiovascular disease; tobacco,1
