#,日期-时间 (China Standard Time),Ch: 2 - 温度   (°C),Ch: 3 - 相对湿度   (%),Ch: 4 - 光   (lux),露点   (°C),连接的主机,文件结尾
1,05/27/2023 18:36:01,27.625,63.2,9.76,20.02,,
2,05/27/2023 18:37:01,27.562,67.06,37.99,20.92,,
3,05/27/2023 18:38:01,27.619,65.66,25.28,20.63,,
4,05/27/2023 18:39:01,27.559,65.96,24.99,20.65,,
5,05/27/2023 18:40:01,27.568,68.81,33.32,21.35,,
6,05/27/2023 18:41:01,27.52,69.72,33.32,21.52,,
7,05/27/2023 18:42:01,27.509,70.45,0,21.68,,
8,05/27/2023 18:43:01,27.493,68.34,0,21.16,,
9,05/27/2023 18:44:01,27.457,69.96,0,21.51,,
10,05/27/2023 18:45:01,27.426,68.69,0,21.18,,
11,05/27/2023 18:46:01,27.403,69.9,0,21.45,,
12,05/27/2023 18:47:01,27.382,70.73,0,21.62,,
13,05/27/2023 18:48:01,27.362,69.5,0,21.31,,
14,05/27/2023 18:49:01,27.35,69.14,0,21.22,,
15,05/27/2023 18:50:01,27.339,71.44,0,21.74,,
16,05/27/2023 18:51:01,27.33,71.01,0,21.63,,
17,05/27/2023 18:52:01,27.325,70.65,0,21.55,,
18,05/27/2023 18:53:01,27.308,69.33,0,21.22,,
19,05/27/2023 18:54:01,27.307,70.2,0,21.43,,
20,05/27/2023 18:55:01,27.303,71.99,0,21.83,,
21,05/27/2023 18:56:01,27.299,70.95,0,21.59,,
22,05/27/2023 18:57:01,27.3,70.14,0,21.41,,
23,05/27/2023 18:58:01,27.293,71.27,0,21.66,,
24,05/27/2023 18:59:01,27.294,72.56,0,21.96,,
25,05/27/2023 19:00:01,27.294,71.88,0,21.8,,
26,05/27/2023 19:01:01,27.294,71.4,0,21.69,,
27,05/27/2023 19:02:01,27.293,70.44,0,21.47,,
28,05/27/2023 19:03:01,27.287,70.95,0,21.58,,
29,05/27/2023 19:04:01,27.282,71.33,0,21.66,,
30,05/27/2023 19:05:01,27.282,71.69,0,21.75,,
31,05/27/2023 19:06:01,27.29,72.81,0,22.01,,
32,05/27/2023 19:07:01,27.296,71.62,0,21.74,,
33,05/27/2023 19:08:01,27.294,71.27,0,21.66,,
34,05/27/2023 19:09:01,27.296,72.08,0,21.85,,
35,05/27/2023 19:10:01,27.303,72.63,0,21.98,,
36,05/27/2023 19:11:01,27.31,72.93,0,22.05,,
37,05/27/2023 19:12:01,27.32,72.51,0,21.97,,
38,05/27/2023 19:13:01,27.333,72.22,0,21.92,,
39,05/27/2023 19:14:01,27.333,71.49,0,21.75,,
40,05/27/2023 19:15:01,27.336,71.68,0,21.79,,
41,05/27/2023 19:16:01,27.34,73.97,0,22.32,,
42,05/27/2023 19:17:01,27.356,74.08,0,22.36,,
43,05/27/2023 19:18:01,27.363,71.95,0,21.88,,
44,05/27/2023 19:19:01,27.363,73.72,0,22.28,,
45,05/27/2023 19:20:01,27.379,74,0,22.36,,
46,05/27/2023 19:21:01,27.394,72.54,0,22.05,,
47,05/27/2023 19:22:01,27.4,73.02,0,22.16,,
48,05/27/2023 19:23:01,27.408,73.8,0,22.34,,
49,05/27/2023 19:24:01,27.417,72.86,0,22.14,,
50,05/27/2023 19:25:01,27.426,73.15,0,22.22,,
51,05/27/2023 19:26:01,27.428,73.01,0,22.19,,
52,05/27/2023 19:27:01,27.426,72.91,0,22.16,,
53,05/27/2023 19:28:01,27.434,73.46,0,22.29,,
54,05/27/2023 19:29:01,27.442,73.68,0,22.35,,
55,05/27/2023 19:30:01,27.446,73.45,0,22.3,,
56,05/27/2023 19:31:01,27.459,73.58,0,22.34,,
57,05/27/2023 19:32:01,27.466,73.28,0,22.28,,
58,05/27/2023 19:33:01,27.468,73.46,0,22.33,,
59,05/27/2023 19:34:01,27.476,73.72,0,22.39,,
60,05/27/2023 19:35:01,27.483,74.36,0,22.54,,
61,05/27/2023 19:36:01,27.491,73.62,0,22.38,,
62,05/27/2023 19:37:01,27.502,73.52,0,22.37,,
63,05/27/2023 19:38:01,27.506,74.1,0,22.51,,
64,05/27/2023 19:39:01,27.514,73.93,0,22.48,,
65,05/27/2023 19:40:01,27.519,73.38,0,22.36,,
66,05/27/2023 19:41:01,27.522,74.18,0,22.54,,
67,05/27/2023 19:42:01,27.529,74.26,0,22.56,,
68,05/27/2023 19:43:01,27.536,73.16,0,22.32,,
69,05/27/2023 19:44:01,27.543,74.21,0,22.56,,
70,05/27/2023 19:45:01,27.551,73.63,0,22.44,,
71,05/27/2023 19:46:01,27.568,74.06,0,22.56,,
72,05/27/2023 19:47:01,27.571,73.29,0,22.39,,
73,05/27/2023 19:48:01,27.576,73.23,0,22.38,,
74,05/27/2023 19:49:01,27.574,73.68,0,22.48,,
75,05/27/2023 19:50:01,27.579,74.39,0,22.64,,
76,05/27/2023 19:51:01,27.582,73.18,0,22.37,,
77,05/27/2023 19:52:01,27.589,73.11,0,22.36,,
78,05/27/2023 19:53:01,27.6,73.25,0,22.41,,
79,05/27/2023 19:54:01,27.606,72.86,0,22.32,,
80,05/27/2023 19:55:01,27.61,74.38,0,22.67,,
81,05/27/2023 19:56:01,27.61,73.76,0,22.53,,
82,05/27/2023 19:57:01,27.613,73.03,0,22.37,,
83,05/27/2023 19:58:01,27.614,74.37,0,22.67,,
84,05/27/2023 19:59:01,27.614,73.96,0,22.58,,
85,05/27/2023 20:00:01,27.616,73.9,0,22.57,,
86,05/27/2023 20:01:01,27.62,73.94,0,22.58,,
87,05/27/2023 20:02:01,27.628,73.66,0,22.52,,
88,05/27/2023 20:03:01,27.631,74.04,0,22.61,,
89,05/27/2023 20:04:01,27.628,73.19,0,22.42,,
90,05/27/2023 20:05:01,27.637,73.1,0,22.41,,
91,05/27/2023 20:06:01,27.637,74.09,0,22.63,,
92,05/27/2023 20:07:01,27.636,74,0,22.61,,
93,05/27/2023 20:08:01,27.636,73.63,0,22.53,,
94,05/27/2023 20:09:01,27.637,73.8,0,22.57,,
95,05/27/2023 20:10:01,27.643,73.61,0,22.53,,
96,05/27/2023 20:11:01,27.646,73.14,0,22.42,,
97,05/27/2023 20:12:01,27.642,74.18,0,22.65,,
98,05/27/2023 20:13:01,27.642,74.08,0,22.63,,
99,05/27/2023 20:14:01,27.648,74.49,0,22.73,,
100,05/27/2023 20:15:01,27.653,73.48,0,22.51,,
101,05/27/2023 20:16:01,27.663,73.28,0,22.47,,
102,05/27/2023 20:17:01,27.66,73.91,0,22.61,,
103,05/27/2023 20:18:01,27.657,73.45,0,22.51,,
104,05/27/2023 20:19:01,27.651,73.51,0,22.51,,
105,05/27/2023 20:20:01,27.651,73.31,0,22.47,,
106,05/27/2023 20:21:01,27.653,73.53,0,22.52,,
107,05/27/2023 20:22:01,27.657,74.17,0,22.67,,
108,05/27/2023 20:23:01,27.668,73.75,0,22.58,,
109,05/27/2023 20:24:01,27.676,73.67,0,22.57,,
110,05/27/2023 20:25:01,27.685,74.12,0,22.68,,
111,05/27/2023 20:26:01,27.685,74.13,0,22.69,,
112,05/27/2023 20:27:01,27.688,73.7,0,22.59,,
113,05/27/2023 20:28:01,27.7,73.51,0,22.56,,
114,05/27/2023 20:29:01,27.716,74.17,0,22.72,,
115,05/27/2023 20:30:01,27.725,73.45,0,22.57,,
116,05/27/2023 20:31:01,27.736,73.34,0,22.56,,
117,05/27/2023 20:32:01,27.747,74.07,0,22.73,,
118,05/27/2023 20:33:01,27.747,73.58,0,22.62,,
119,05/27/2023 20:34:01,27.751,73.6,0,22.63,,
120,05/27/2023 20:35:01,27.759,73.44,0,22.6,,
121,05/27/2023 20:36:01,27.762,73.87,0,22.7,,
122,05/27/2023 20:37:01,27.767,73.84,0,22.7,,
123,05/27/2023 20:38:01,27.77,74.06,0,22.75,,
124,05/27/2023 20:39:01,27.767,73.36,0,22.59,,
125,05/27/2023 20:40:01,27.768,73.4,0,22.6,,
126,05/27/2023 20:41:01,27.773,74.08,0,22.76,,
127,05/27/2023 20:42:01,27.773,74.29,0,22.8,,
128,05/27/2023 20:43:01,27.773,73.74,0,22.68,,
129,05/27/2023 20:44:01,27.782,73.26,0,22.58,,
130,05/27/2023 20:45:01,27.788,73.26,0,22.59,,
131,05/27/2023 20:46:01,27.793,74.21,0,22.81,,
132,05/27/2023 20:47:01,27.793,74.36,0,22.84,,
133,05/27/2023 20:48:01,27.796,74.44,0,22.86,,
134,05/27/2023 20:49:01,27.794,74.35,0,22.84,,
135,05/27/2023 20:50:01,27.796,73.49,0,22.65,,
136,05/27/2023 20:51:01,27.807,73.49,0,22.66,,
137,05/27/2023 20:52:01,27.819,73.99,0,22.78,,
138,05/27/2023 20:53:01,27.827,73.49,0,22.68,,
139,05/27/2023 20:54:01,27.828,73.4,0,22.66,,
140,05/27/2023 20:55:01,27.821,73.68,0,22.71,,
141,05/27/2023 20:56:01,27.824,74.43,0,22.89,,
142,05/27/2023 20:57:01,27.83,74.21,0,22.84,,
143,05/27/2023 20:58:01,27.833,74.09,0,22.82,,
144,05/27/2023 20:59:01,27.838,74.2,0,22.85,,
145,05/27/2023 21:00:01,27.835,73.72,0,22.74,,
146,05/27/2023 21:01:01,27.841,73.57,0,22.71,,
147,05/27/2023 21:02:01,27.839,74.07,0,22.82,,
148,05/27/2023 21:03:01,27.836,74.34,0,22.88,,
149,05/27/2023 21:04:01,27.836,74.64,0,22.94,,
150,05/27/2023 21:05:01,27.83,74.02,0,22.8,,
151,05/27/2023 21:06:01,27.83,74.5,0,22.91,,
152,05/27/2023 21:07:01,27.835,74.31,0,22.87,,
153,05/27/2023 21:08:01,27.839,73.85,0,22.77,,
154,05/27/2023 21:09:01,27.844,73.7,0,22.74,,
155,05/27/2023 21:10:01,27.85,73.66,0,22.74,,
156,05/27/2023 21:11:01,27.851,73.98,0,22.81,,
157,05/27/2023 21:12:01,27.853,74.18,0,22.86,,
158,05/27/2023 21:13:01,27.853,74.01,0,22.82,,
159,05/27/2023 21:14:01,27.851,74.05,0,22.83,,
160,05/27/2023 21:15:01,27.856,74.17,0,22.86,,
161,05/27/2023 21:16:01,27.861,74.42,0,22.92,,
162,05/27/2023 21:17:01,27.864,74.55,0,22.95,,
163,05/27/2023 21:18:01,27.87,74.55,0,22.96,,
164,05/27/2023 21:19:01,27.87,74.65,0,22.98,,
165,05/27/2023 21:20:01,27.875,73.81,0,22.79,,
166,05/27/2023 21:21:01,27.876,74.12,0,22.87,,
167,05/27/2023 21:22:01,27.885,74.32,0,22.92,,
168,05/27/2023 21:23:01,27.893,74.45,0,22.96,,
169,05/27/2023 21:24:01,27.901,74.13,0,22.89,,
170,05/27/2023 21:25:01,27.901,74.06,0,22.88,,
171,05/27/2023 21:26:01,27.905,74.04,0,22.88,,
172,05/27/2023 21:27:01,27.91,74.51,0,22.99,,
173,05/27/2023 21:28:01,27.909,74.48,0,22.98,,
174,05/27/2023 21:29:01,27.913,74.46,0,22.98,,
175,05/27/2023 21:30:01,27.918,73.92,0,22.86,,
176,05/27/2023 21:31:01,27.924,73.67,0,22.81,,
177,05/27/2023 21:32:01,27.929,73.78,0,22.84,,
178,05/27/2023 21:33:01,27.932,74.24,0,22.95,,
179,05/27/2023 21:34:01,27.93,74.42,0,22.98,,
180,05/27/2023 21:35:01,27.927,73.76,0,22.83,,
181,05/27/2023 21:36:01,27.93,73.85,0,22.86,,
182,05/27/2023 21:37:01,27.935,74.01,0,22.9,,
183,05/27/2023 21:38:01,27.935,73.78,0,22.85,,
184,05/27/2023 21:39:01,27.936,73.98,0,22.89,,
185,05/27/2023 21:40:01,27.941,74.1,0,22.93,,
186,05/27/2023 21:41:01,27.944,73.79,0,22.86,,
187,05/27/2023 21:42:01,27.944,74.21,0,22.95,,
188,05/27/2023 21:43:01,27.949,74.17,0,22.95,,
189,05/27/2023 21:44:01,27.953,73.86,0,22.88,,
190,05/27/2023 21:45:01,27.958,73.83,0,22.88,,
191,05/27/2023 21:46:01,27.963,74.02,0,22.93,,
192,05/27/2023 21:47:01,27.96,73.99,0,22.92,,
193,05/27/2023 21:48:01,27.958,74.34,0,22.99,,
194,05/27/2023 21:49:01,27.963,73.83,0,22.88,,
