#,日期-时间 (China Standard Time),Ch:2 - 温度   (°C),Ch:3 - 相对湿度   (%),Ch:4 - 光   (lux),露点   (°C),传感器已通电,传感器未通电,连接的主机,文件结尾
1,07/14/2023 14:06:26,25.257,56.78,72.6,16.09,,,,
2,07/14/2023 14:06:31,25.236,56.69,71,16.05,,,,
3,07/14/2023 14:06:36,25.212,56.48,98.92,15.97,,,,
4,07/14/2023 14:06:41,25.195,56.41,103.32,15.93,,,,
5,07/14/2023 14:06:46,25.177,56.27,102.24,15.87,,,,
6,07/14/2023 14:06:51,25.157,56.1,97.96,15.81,,,,
7,07/14/2023 14:06:56,25.133,55.91,102.24,15.73,,,,
8,07/14/2023 14:07:01,25.114,55.71,104.4,15.66,,,,
9,07/14/2023 14:07:06,25.107,55.67,104.4,15.64,,,,
10,07/14/2023 14:07:11,25.1,55.74,104.4,15.65,,,,
11,07/14/2023 14:07:16,25.088,55.74,105.44,15.64,,,,
12,07/14/2023 14:07:21,25.08,55.78,105.44,15.65,,,,
13,07/14/2023 14:07:26,25.079,55.81,104.4,15.65,,,,
14,07/14/2023 14:07:31,25.076,55.84,104.4,15.66,,,,
15,07/14/2023 14:07:36,25.074,55.89,104.4,15.67,,,,
16,07/14/2023 14:07:41,25.065,55.81,104.4,15.64,,,,
17,07/14/2023 14:07:46,25.062,55.74,104.4,15.62,,,,
18,07/14/2023 14:07:51,25.06,55.56,104.4,15.57,,,,
19,07/14/2023 14:07:56,25.059,55.46,104.4,15.54,,,,
20,07/14/2023 14:08:01,25.056,55.28,104.4,15.48,,,,
21,07/14/2023 14:08:06,25.051,55.21,105.44,15.46,,,,
22,07/14/2023 14:08:11,25.045,55.07,97.96,15.41,,,,
23,07/14/2023 14:08:16,25.03,55.12,91.4,15.42,,,,
24,07/14/2023 14:08:21,25.015,55.2,88.2,15.42,,,,
25,07/14/2023 14:08:26,25.023,55.79,145.2,15.6,,,,
26,07/14/2023 14:08:31,25.104,56.88,68.26,15.98,,,,
27,07/14/2023 14:08:36,25.176,57.36,75.88,16.17,,,,
28,07/14/2023 14:08:41,25.21,61.16,87.64,17.22,,,,
29,07/14/2023 14:08:46,25.264,62.9,95.2,17.71,,,,
30,07/14/2023 14:08:51,25.342,63.68,81.18,17.98,,,,
31,07/14/2023 14:08:56,25.399,64.12,104.32,18.15,,,,
32,07/14/2023 14:09:01,25.485,65.14,31.95,18.48,,,,
33,07/14/2023 14:09:06,25.553,64.54,94.08,18.4,,,,
34,07/14/2023 14:09:11,25.616,65.1,72.6,18.6,,,,
35,07/14/2023 14:09:16,25.649,65.45,83.36,18.71,,,,
36,07/14/2023 14:09:21,25.696,65.88,67.72,18.86,,,,
37,07/14/2023 14:09:26,25.786,65.54,108.68,18.86,,,,
38,07/14/2023 14:09:31,25.862,66,96.28,19.05,,,,
39,07/14/2023 14:09:36,25.915,65.43,128.08,18.96,,,,
40,07/14/2023 14:09:41,25.97,64.95,129,18.89,,,,
41,07/14/2023 14:09:46,26.026,64.33,284,18.79,,,,
42,07/14/2023 14:09:51,26.054,63.1,281.84,18.51,,,,
43,07/14/2023 14:09:56,26.083,62.11,308.64,18.28,,,,
44,07/14/2023 14:10:01,26.101,61.42,82.24,18.12,,,,
45,07/14/2023 14:10:06,26.159,62.03,364.48,18.33,,,,
46,07/14/2023 14:10:11,26.237,63.37,336.64,18.75,,,,
47,07/14/2023 14:10:16,26.285,63.08,447.2,18.72,,,,
48,07/14/2023 14:10:21,26.296,61.8,448.32,18.41,,,,
49,07/14/2023 14:10:26,26.293,61.38,447.2,18.29,,,,
50,07/14/2023 14:10:31,26.299,61.16,448.32,18.24,,,,
51,07/14/2023 14:10:36,26.307,60.72,448.32,18.13,,,,
52,07/14/2023 14:10:41,26.313,60.36,448.32,18.05,,,,
53,07/14/2023 14:10:46,26.314,60.19,447.2,18,,,,
54,07/14/2023 14:10:51,26.327,60.06,448.32,17.98,,,,
55,07/14/2023 14:10:56,26.337,59.83,445.12,17.93,,,,
56,07/14/2023 14:11:01,26.343,59.78,410.88,17.92,,,,
57,07/14/2023 14:11:06,26.353,59.52,364.48,17.86,,,,
58,07/14/2023 14:11:11,26.368,59.86,137.72,17.97,,,,
59,07/14/2023 14:11:16,26.377,59.52,0,17.88,,,,
