#,日期-时间 (China Standard Time),Ch:2 - 温度   (°C),Ch:3 - 相对湿度   (%),Ch:4 - 光   (lux),露点   (°C),连接的主机,文件结尾
1,07/14/2023 14:05:40,28.472,58.07,431.36,19.45,,
2,07/14/2023 14:05:45,28.51,58.94,753.92,19.73,,
3,07/14/2023 14:05:50,28.357,54.96,753.92,18.46,,
4,07/14/2023 14:05:55,28.208,52.99,754.88,17.74,,
5,07/14/2023 14:06:00,28.097,52.22,753.92,17.4,,
6,07/14/2023 14:06:05,28,51.89,753.92,17.21,,
7,07/14/2023 14:06:10,27.922,51.64,753.92,17.07,,
8,07/14/2023 14:06:15,27.848,51.47,754.88,16.95,,
9,07/14/2023 14:06:20,27.807,51.44,754.88,16.9,,
10,07/14/2023 14:06:25,27.774,51.24,754.88,16.81,,
11,07/14/2023 14:06:30,27.739,51.2,754.88,16.76,,
12,07/14/2023 14:06:35,27.685,50.92,754.88,16.63,,
13,07/14/2023 14:06:40,27.628,50.81,754.88,16.54,,
14,07/14/2023 14:06:45,27.589,50.79,753.92,16.5,,
15,07/14/2023 14:06:50,27.565,50.71,754.88,16.45,,
16,07/14/2023 14:06:55,27.533,52.14,754.88,16.86,,
17,07/14/2023 14:07:00,27.517,51.39,754.88,16.61,,
18,07/14/2023 14:07:05,27.499,50.87,754.88,16.44,,
19,07/14/2023 14:07:10,27.486,50.74,753.92,16.39,,
20,07/14/2023 14:07:15,27.477,50.66,754.88,16.35,,
21,07/14/2023 14:07:20,27.466,50.57,754.88,16.32,,
22,07/14/2023 14:07:25,27.449,50.54,754.88,16.29,,
23,07/14/2023 14:07:30,27.423,50.56,754.88,16.27,,
24,07/14/2023 14:07:35,27.409,50.63,753.92,16.28,,
25,07/14/2023 14:07:40,27.4,50.92,754.88,16.37,,
26,07/14/2023 14:07:45,27.385,50.63,753.92,16.26,,
27,07/14/2023 14:07:50,27.36,50.43,753.92,16.17,,
28,07/14/2023 14:07:55,27.337,50.38,753.92,16.14,,
29,07/14/2023 14:08:00,27.334,50.27,753.92,16.1,,
30,07/14/2023 14:08:05,27.302,50.13,679.04,16.03,,
31,07/14/2023 14:08:10,27.247,50,757.12,15.94,,
32,07/14/2023 14:08:15,27.242,51.04,16.61,16.26,,
33,07/14/2023 14:08:20,27.247,52.26,59.74,16.63,,
34,07/14/2023 14:08:25,27.25,61.25,23.11,19.16,,
35,07/14/2023 14:08:30,27.256,70.56,4.46,21.46,,
36,07/14/2023 14:08:35,27.211,73.46,14.87,22.08,,
37,07/14/2023 14:08:40,27.138,73.4,2.47,21.99,,
38,07/14/2023 14:08:45,27.079,76.42,2.47,22.6,,
39,07/14/2023 14:08:50,27.122,79.76,4.95,23.35,,
40,07/14/2023 14:08:55,27.162,82.31,2.47,23.91,,
41,07/14/2023 14:09:00,27.225,83.15,1.73,24.14,,
42,07/14/2023 14:09:05,27.276,83.86,7.43,24.34,,
43,07/14/2023 14:09:10,27.334,84.91,2.47,24.6,,
44,07/14/2023 14:09:15,27.399,85.87,6.19,24.85,,
45,07/14/2023 14:09:20,27.448,86.62,3.96,25.05,,
46,07/14/2023 14:09:25,27.506,87.17,9.17,25.21,,
47,07/14/2023 14:09:30,27.566,87.82,2.47,25.4,,
48,07/14/2023 14:09:35,27.631,88.55,0,25.6,,
49,07/14/2023 14:09:40,27.697,89.1,15.12,25.77,,
50,07/14/2023 14:09:45,27.731,89.69,1.73,25.92,,
51,07/14/2023 14:09:50,27.771,90.2,0.24,26.05,,
52,07/14/2023 14:09:55,27.816,90.47,21.35,26.15,,
53,07/14/2023 14:10:00,27.835,90.71,24.85,26.21,,
54,07/14/2023 14:10:05,27.865,91.03,8.67,26.3,,
55,07/14/2023 14:10:10,27.905,78.84,458.08,23.92,,
56,07/14/2023 14:10:15,27.936,65.63,460,20.93,,
57,07/14/2023 14:10:20,27.961,59.38,462.08,19.33,,
58,07/14/2023 14:10:25,27.984,56.61,464,18.59,,
59,07/14/2023 14:10:30,28.01,55.15,463.04,18.19,,
60,07/14/2023 14:10:35,28.031,54.48,461.12,18.01,,
61,07/14/2023 14:10:40,28.051,54.08,462.08,17.92,,
62,07/14/2023 14:10:45,28.065,53.64,463.04,17.8,,
63,07/14/2023 14:10:50,28.075,53.17,463.04,17.67,,
64,07/14/2023 14:10:55,28.105,52.84,463.04,17.6,,
65,07/14/2023 14:11:00,28.114,52.35,0,17.46,,
66,07/14/2023 14:11:05,28.148,53.42,0,17.81,,
67,07/14/2023 14:11:10,28.193,54.59,0,18.2,,
68,07/14/2023 14:11:15,28.239,55.36,0,18.47,,
69,07/14/2023 14:11:20,28.292,55.92,0,18.68,,
70,07/14/2023 14:11:25,28.346,56.3,0,18.83,,
71,07/14/2023 14:11:30,28.4,56.57,0,18.96,,
72,07/14/2023 14:11:35,28.45,56.8,0,19.07,,
73,07/14/2023 14:11:40,28.492,56.92,0,19.14,,
74,07/14/2023 14:11:45,28.537,57.1,0,19.24,,
75,07/14/2023 14:11:50,28.576,57.15,0,19.29,,
76,07/14/2023 14:11:55,28.613,57.26,0,19.35,,
77,07/14/2023 14:12:00,28.648,57.29,0,19.4,,
